No.,Name,Type 1,Type 2,HP,Sta,Spe,Atk,Def,SpA,SpD,BST
67,Osukan,earth,melee,60,41,41,78,69,26,27,342
68,Osukai,earth,melee,71,48,58,93,85,31,33,419
69,Saipat,water,melee,92,42,70,80,50,70,40,444
70,Pycko,earth,fire,49,52,39,55,40,44,41,320
71,Drakash,earth,fire,64,60,79,57,45,83,72,460
72,Crystle,crystal,,60,41,33,61,69,46,42,352
73,Sherald,crystal,,68,45,43,69,78,51,48,402
74,Tortenite,crystal,toxic,74,52,52,45,76,89,60,448
79,Hocus,mental,,49,61,65,55,34,55,34,353
80,Pocus,mental,,60,73,78,69,36,77,38,431
82,Sparzy,electric,,70,80,85,85,46,42,46,454
84,Mushi,toxic,,48,33,68,48,36,48,29,310
85,Mushook,toxic,melee,67,45,81,81,80,49,41,444
86,Magmis,fire,,52,51,37,55,42,45,35,317
87,Mastione,fire,,69,62,52,91,65,62,37,438
88,Umishi,water,,51,76,80,21,34,63,45,370
89,Ukama,water,,68,90,100,34,51,76,54,473
91,Raignet,electric,,68,57,54,81,69,58,50,437
92,Smazee,melee,,49,55,66,69,44,37,37,357
93,Baboong,melee,,54,61,75,79,51,41,41,402
94,Seismunch,melee,earth,70,65,85,89,54,43,43,449
95,Zizare,earth,,60,75,30,70,90,40,45,410
100,Kuri,earth,,52,30,52,60,58,35,31,318
101,Kauren,earth,,81,39,65,81,74,52,51,443
102,Spriole,nature,,72,38,65,42,70,37,31,355
103,Deendre,nature,,80,42,70,48,74,42,35,391
104,Cerneaf,nature,,91,44,79,60,88,43,46,451
105,Toxolotl,toxic,,59,40,47,50,64,65,37,362
106,Noxolotl,toxic,,72,49,61,61,78,85,45,451
107,Blooze,toxic,,68,50,33,43,52,46,54,346
108,Goolder,toxic,,120,70,10,64,56,68,56,444
109,Zephyruff,toxic,wind,55,34,68,43,47,50,51,348
110,Volarend,toxic,wind,60,38,74,51,55,68,96,442
111,Grumvel,earth,,70,36,55,50,65,48,60,384
112,Grumper,earth,electric,75,41,50,56,75,81,67,445
113,Ganki,electric,wind,38,46,61,57,38,62,73,375
114,Gazuma,electric,wind,46,53,67,68,43,81,91,449
115,Oceara,water,,64,42,100,54,51,110,65,486
116,Yowlar,neutral,,96,71,40,80,86,50,74,497
117,Droply,water,earth,60,60,25,65,60,39,54,363
118,Garyo,water,earth,74,65,38,78,68,56,66,445
122,Shuine,crystal,water,43,90,81,67,49,72,60,462
123,Nessla,water,electric,45,58,66,76,50,70,72,437
124,Valiar,mental,,43,74,69,79,68,54,61,448
127,Kalazu,water,,63,24,28,54,70,38,44,321
128,Kalabyss,water,toxic,82,37,37,75,100,65,55,451
129,Adoroboros,toxic,mental,66,66,60,29,42,70,110,443
130,Tuwai,wind,,54,47,58,62,45,60,47,373
131,Tukai,wind,water,75,68,65,53,49,74,78,462
133,Tuvine,wind,crystal,57,47,65,65,111,56,47,448
134,Turoc,wind,earth,101,48,60,75,68,47,45,444
137,Kinu,nature,mental,43,64,74,53,41,69,89,433
138,Vulvir,fire,earth,59,54,57,47,64,47,31,359
139,Vulor,fire,earth,65,59,63,49,71,49,32,388
140,Vulcrane,fire,earth,76,65,73,74,86,64,35,473
141,Pigepic,wind,,54,72,58,60,72,45,72,433
142,Akranox,earth,toxic,61,52,71,71,64,71,64,454
144,Vulffy,earth,nature,54,70,60,39,55,76,85,439
161,Anahir,crystal,fire,54,36,31,50,101,50,101,423 
